concat,constName,stateName,winner,winParty,Winvotes,Votesharewinner,Runner,runParty,Runvotes,Votesharerunner,Marginabs,absMarginText,marginPC
S29_5,Zahirabad,Telangana,B.B. Patil,Telangana Rashtra Samithi,434244,41.58,Madan Mohan Rao,INC,428015,40.98,6229,6229,0.6
S24_58,Shrawasti,Uttar Pradesh,Ram Shiromani,Bahujan Samaj Party,441771,44.31,Daddan Mishra,BJP,436451,43.78,5320,5320,0.53
S29_14,Bhongir,Telangana,Komati Reddy Venkat Reddy,INC,532795,43.94,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,527576,43.51,5219,5219,0.43
S24_10,Meerut,Uttar Pradesh,Rajendra Agarwal,BJP,586184,48.19,Haji Mohammad Yaqoob,Bahujan Samaj Party,581455,47.8,4729,4729,0.39
S13_19,Aurangabad,Maharashtra,Imtiaz Jaleel Syed,All India Majlis-e-ittehadul Muslimeen,389042,32.47,Chandrakant Khaire,Shivsena,384550,32.09,4492,4492,0.38
S01_4,Visakhapatnam,Andhra Pradesh,M.V.V. Satyanarayana,Yuvajana Sramika Rythu Congress Party,436906,35.24,Bharat Mathukumilli,Telugu Desam,432492,34.89,4414,4414,0.35
S01_13,Guntur,Andhra Pradesh,Jayadev Galla,Telugu Desam,587918,43.5,Modugula Venugopala Reddy,Yuvajana Sramika Rythu Congress Party,583713,43.19,4205,4205,0.31
S18_21,Koraput,Odisha,Saptagiri Sankar Ulaka,INC,371129,34.36,Kausalya Hikaka,Biju Janata Dal,367516,34.02,3613,3613,0.34
S22_27,Chidambaram,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,500229,43.38,Chandrasekar P,All India Anna Dravida Munnetra Kazhagam,497010,43.1,3219,3219,0.28
S25_39,Bardhaman Durgapur,West Bengal,S.S. Ahluwalia,BJP,598376,41.76,Dr. Mamtaz Sanghamita,All India Trinamool Congress,595937,41.59,2439,2439,0.17
S10_22,Chamarajanagar,Karnataka,V. Srinivas Prasad,BJP,568537,44.74,R. Dhruvanarayana,INC,566720,44.6,1817,1817,0.14
S04_36,Jahanabad,Bihar,Chandeshwar Prasad,Janata Dal  (United),335584,40.82,Surendra Prasad Yadav,Rashtriya Janata Dal,333833,40.61,1751,1751,0.21
S27_11,Khunti,Jharkhand,Arjun Munda,BJP,382638,45.97,Kali Charan Munda,INC,381193,45.8,1445,1445,0.17
U01_1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Kuldeep Rai Sharma,INC,95308,45.98,Vishal Jolly,BJP,93901,45.3,1407,1407,0.68
S25_29,Arambagh,West Bengal,Aparupa Poddar (Afrin Ali),All India Trinamool Congress,649929,44.15,Tapan Kumar Ray,BJP,648787,44.08,1142,1142,0.07
U06_1,Lakshadweep,Lakshadweep,Mohammed Faizal Pp,Nationalist Congress Party,22851,48.61,Hamdullah Sayeed,INC,22028,46.86,823,823,1.75
S24_74,Machhlishahr,Uttar Pradesh,Bholanath (B.P. Saroj),BJP,488397,47.19,Tribhuvan Ram (T.ram),Bahujan Samaj Party,488216,47.17,181,181,0.02
